row_id,title,artist,album,section
7a572f,My Sharona,The Knack,20 #1's: One Hit Wonders,One Hit Wonders
bfd13f,Disco Duck,The Rubix Cube's,1970's One Hit Wonders,One Hit Wonders
601aed,Bette Davis Eyes (Re-Recorded / Remastered),Kim Carnes,80s 1 Hit Wonders (Re-Recorded / Remastered Versions),One Hit Wonders
79787b,London Calling - Remastered,The Clash,London Calling (Remastered),Bonus
b03dbc,Surf City - Remastered 1990/Stereo Remix,Jan & Dean,Surf City: The Best Of Jan & Dean,Bonus
c0ef31,Look Sharp!,Joe Jackson,Look Sharp!,Bonus
5d86c8,Can't Help Falling in Love,Elvis Presley,Blue Hawaii,Bonus
b2028e,In Dreams,Roy Orbison,In Dreams,Bonus
6fa5d0,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,From The Original Master Tapes,Bonus
0967de,France: La Marseillaise,"Choeur de l'Armée Française, Musique De La Garde Républicaine",Les hymnes officiels de la Coupe du Monde de Rugby (National Anthems Rugby World Cup France),Bonus
c38f73,"Gone, Gone, Gone",Carl Perkins,The Dance Album,Bonus
712505,Great Balls Of Fire,Jerry Lee Lewis,The Golden Rock Hits Of Jerry Lee Lewis,Bonus
4681ee,Pet Sounds - Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),Bonus
a4d92b,Jules and Jim (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie
fb706f,"The Good, the Bad and the Ugly (Movie Main Theme)",Film & TV Masters,Ultimate Movie Theme Playlist,Movie
11afc6,Superman (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie
a7afd6,A Man and a Woman (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie
56a4bb,The Godfather,A Century Of Movie Soundtracks,A Century Of Movie Soundtracks Vol. 2,Movie
04f575,The Pink Panther,A Century Of Movie Soundtracks,A Century Of Movie Soundtracks Vol. 1,Movie
c34a54,"End Title (from ""Lawrence Of Arabia"")",London Philharmonic Orchestra,Lawrence Of Arabia (Original Soundtrack Recording),Movie
fe6530,La dolce vita,"Nino Rota, Studio Orchestra, StudioConductor",Original Music for the Movies of Federico Fellini,Movie
859579,Amarcord,Nino Rota,Amarcord,Movie
45f341,Patton,DLG Orchestra,Greatest Movie Themes,Movie
571e1b,Being Alive,2006 Broadway Revival Cast,Company (2006 Broadway Revival Cast),Broadway
86d820,Whatever Lola Wants,Gwen Verdon,Damn Yankees (Original Soundtrack) [Remastered],Broadway
94069c,They Say It's Wonderful,Annie Get Your Gun - The 1999 Broadway Cast,Annie Get Your Gun - The New Broadway Cast Recording (Staring Bernadette Peters),Broadway
7b30c0,Alexander Hamilton,"Leslie Odom, Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Christopher Jackson & Original Broadway Cast of Hamilton",Hamilton (Original Broadway Cast Recording),Broadway
8cccc9,One (Reprise) / Finale,A Chorus Line Ensemble,A Chorus Line - 40th Anniversary Celebration (Original Broadway Cast Recording),Broadway
444ef6,Don't Rain On My Parade,Barbra Streisand,The Essential Barbra Streisand,Broadway
c0d2c8,Corner of the Sky,Matthew James Thomas,Pippin (New Broadway Cast Recording),Broadway
e7cf8c,Something's Coming,Matt Cavenaugh,West Side Story (New Broadway Cast Recording - 2009),Broadway
e3196e,Overture,"2003 Broadway Cast of ""Gypsy""",Gypsy (2003 Broadway Cast),Broadway
508334,42nd Street,"Wanda Richert, Lee Roy Reams & 42nd Street Ensemble",42nd Street - Original Broadway Cast Recording,Broadway
40769f,Tenth Avenue Freeze-Out,Bruce Springsteen,Born To Run,New York
0cdf0a,"Theme from New York, New York",Frank Sinatra,Ultimate Sinatra: The Centennial Collection,New York
8627c4,On Broadway,George Benson,The George Benson Collection,New York
92901a,Christmas In Hollis (Bonus Track),Run-DMC,Tougher Than Leather,New York
4f3727,Native New Yorker,Odyssey,Odyssey (Expanded Edition),New York
007a90,Empire State of Mind (feat. Alicia Keys),JAY-Z & Alicia Keys,"The Hits Collection, Vol. One (Deluxe Edition)",New York
d292ef,Fairytale of New York,The Pogues,If I Should Fall from Grace With God [Expanded],New York
7ac04b,Spanish Harlem,Ben E. King,Spanish Harlem,New York
a5388d,The Boy from New York City,The Ad Libs,Discover 60s One Hit Wonders,New York
a2686d,Lullaby of Broadway (with The Dave Brubeck Trio) [Live],Tony Bennett,"The White House Sessions, Live 1962",New York
