title,artist,album,isFound,audio
My Generation - Mono Version,The Who,The Who Sings My Generation (U.S. Version),1,Norwegian Wood (This Bird Has Flown)-Y_V6y1ZCg_8.webm
Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,Rubber Soul (Remastered),1,Lil Nas X - Old Town Road (feat. Billy Ray Cyrus) [Remix]-7ysFgElQtjI.webm
Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus",Old Town Road,1,One Way Or Another (Remastered)-Fnb1xYDViDs.webm
One Way Or Another - Remastered,Blondie,One Way Or Another,1,Yes - Owner of a Lonely Heart (HQ)-7LLzPPFc21o.webm
Owner Of A Lonely Heart,Yes,90125,1,"The Rolling Stones - Paint It, Black (Official Lyric Video)-O4irXQhgMqg.m4a"
"Paint It, Black - (Original Single Mono Version)",The Rolling Stones,Singles 1965-1967,1,Elvis Costello & The Attractions - Pump It Up-3Y71iDvCYXA.webm
Pump It Up,Elvis Costello & The Attractions,This Year's Model,1,Jason Derulo - Ridin' Solo  (Official Video in HD)-8ESdn0MuJWQ.webm
Ridin' Solo,Jason Derulo,Jason Derulo (Deluxe Audio),1,Ring of Fire Johnny Cash-mIBTg7q9oNc.webm
Ring of Fire,Johnny Cash,Johnny Cash - 16 Biggest Hits,1,Lorde - Royals (US Version)-nlcIKh6sBtc.webm
Royals,Lorde,Pure Heroine,1,"Earth, Wind & Fire - September (Official Music Video)-Gs069dndIYk.webm"
September,"Earth, Wind & Fire",The Eternal Dance,1,The Isley Brothers - Shout-rWRsJ-mDU5o.webm
Shout,The Isley Brothers,Pure... '50s,0,Nirvana - Smells Like Teen Spirit (Official Music Video)-hTWKbfoikeg.webm
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),1,Kanye West - Stronger-PsO6ZnUZI0g.webm
Stronger,Kanye West,Stronger (Int'l ECD Maxi),1,Elvis Presley - Suspicious Minds (Audio)-RxOBOhRECoo.webm
Suspicious Minds,Elvis Presley,From Elvis in Memphis,1,Tequila - The Champs-3H6amDbAwlY.webm
Tequila (Original),The Champs,Tequila,1,
The Logical Song - Remastered 2010,Supertramp,Breakfast In America (Deluxe Edition),1,
Theme From Shaft - Album - Remastered,Isaac Hayes,Shaft (Deluxe Edition),0,
Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),1,
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Special,1,
Wake Me Up Before You Go-Go,Wham!,Make It Big,1,
Walk Like an Egyptian,The Bangles,The Essential Bangles,1,
Walk This Way,Aerosmith,Toys In The Attic,1,
What A Wonderful World,Louis Armstrong,Hello Louis - The Hit Years (1963-1969),1,
What's Going On,Marvin Gaye,What's Going On,1,
With Or Without You - Remastered,U2,The Joshua Tree,1,
