row_id,title,artist,album,section,audio_in,start,end,question,answer
id465b17,Come Sail Away,Styx,The Grand Illusion,General,Come Sail Away-eYCFrcCqh7Q.webm,0.0,9.0,Qid465b17,Aid465b17
id4.4E+127,Walk This Way,Aerosmith,Toys In The Attic,General,Aerosmith - Walk This Way (Audio)-4c8O2n1Gfto.webm,0.0,9.0,Qid4.4E+127,Aid4.4E+127
id5b40b2,Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,General,Free Bird-CqnU_sJ8V-E.webm,0.0,10.0,Qid5b40b2,Aid5b40b2
id4c4a05,Margaritaville,Jimmy Buffett,Songs You Know By Heart,General,Jimmy Buffett - Margaritaville (with lyrics)-ue2-ZVxpVjc.webm,0.0,8.0,Qid4c4a05,Aid4c4a05
ida7e9d0,Cocaine,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),General,Eric Clapton - Cocaine + lyrics-3bEUaeG4wH4.webm,0.0,10.0,Qida7e9d0,Aida7e9d0
id2e1108,Gold Digger,"Kanye West, Jamie Foxx",Late Registration,General,Kanye West - Gold Digger ft. Jamie Foxx-6vwNcNOTVzY.m4a,4.0,7.0,Qid2e1108,Aid2e1108
id7444d5,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),General,The Black Eyed Peas - I Gotta Feeling (Official Music Video)-uSD4vsh1zDA.webm,0.0,4.0,Qid7444d5,Aid7444d5
id782a00,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,General,10. Rupert Holmes - Escape (The Piña Colada Song)-TazHNpt6OTo.m4a,0.0,10.0,Qid782a00,Aid782a00
idc96b3d,I Will Survive - Single Version,Gloria Gaynor,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,General,GLORIA GAYNOR I Will Survive Original Single Version-Vne-5xnxpRg.webm,0.0,6.0,Qidc96b3d,Aidc96b3d
id5.061E+08,Ring of Fire,Johnny Cash,Johnny Cash - 16 Biggest Hits,General,Ring of Fire Johnny Cash-mIBTg7q9oNc.webm,4.0,12.0,Qid5.061E+08,Aid5.061E+08
idd010df,All About That Bass,Meghan Trainor,All About That Bass,General,Meghan Trainor - All About That Bass (Official Music Video)-7PCkvCPvDXk.webm,0.0,2.5,Qidd010df,Aidd010df
idd20506,Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,General,Simon & Garfunkel - Bridge Over Troubled Water (Audio)-4G-YQA_bsOU.webm,0.0,10.0,Qidd20506,Aidd20506
idc7cf8a,Happy,Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack),General,Pharrell Williams - Happy (Official Music Video)-ZbZSe6N_BXs.webm,3.0,7.0,Qidc7cf8a,Aidc7cf8a
id4ac4e8,With Or Without You - Remastered,U2,The Joshua Tree,General,With Or Without You (Remastered)-oNvWDP_GkiY.webm,0.0,12.0,Qid4ac4e8,Aid4ac4e8
id3a114c,Material Girl,Madonna,Celebration (double disc version),General,Madonna - Material Girl (Lyrics On Screen)-W8wzQj3M-qY.webm,0.0,8.0,Qid3a114c,Aid3a114c
idc933db,Go Your Own Way - 2004 Remaster,Fleetwood Mac,Rumours,General,Go Your Own Way (2004 Remaster)-DubafeFeJ7Y.webm,0.0,7.0,Qidc933db,Aidc933db
id1d7766,One Way Or Another - Remastered,Blondie,One Way Or Another,General,One Way Or Another (Remastered)-Fnb1xYDViDs.webm,0.0,7.0,Qid1d7766,Aid1d7766
id8fbb24,Holiday / Boulevard of Broken Dreams,Green Day,American Idiot,General,Holiday _ Boulevard of Broken Dreams-J0xe5DcnYSA.webm,0.0,5.0,Qid8fbb24,Aid8fbb24
id41d6f8,Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),General,Twist And Shout (Remastered 2009)-2RicaUqd9Hg.webm,0.0,5.0,Qid41d6f8,Aid41d6f8
idecd5b4,Shout,The Isley Brothers,Pure... '50s,General,The Isley Brothers - Shout-rWRsJ-mDU5o.webm,0.0,5.0,Qidecd5b4,Aidecd5b4
id7f777a,Build Me Up Buttercup,The Foundations,Build Me Up Buttercup (The Complete Pye Collection),General,Build Me Up Buttercup-Nl_2iEP1Wts.m4a,0.0,6.0,Qid7f777a,Aid7f777a
idfdea7f,Wake Me Up Before You Go-Go,Wham!,Make It Big,General,Wham! - Wake Me Up Before You Go Go (Official HD Video)-ELflyACZXQQ.webm,0.0,4.0,Qidfdea7f,Aidfdea7f
id8f5b96,Pump It Up,Elvis Costello & The Attractions,This Year's Model,General,Elvis Costello & The Attractions - Pump It Up-3Y71iDvCYXA.webm,0.0,9.0,Qid8f5b96,Aid8f5b96
id6942ec,Everyday I Write The Book,Elvis Costello & The Attractions,Punch The Clock,General,Elvis Costello & The Attractions - Everyday I Write The Book-V1d4r9awjKE.webm,0.0,10.0,Qid6942ec,Aid6942ec
id92d0fb,What's Going On,Marvin Gaye,What's Going On,General,Marvin Gaye - What's Going On-H-kA3UtBj4M.webm,0.0,15.0,Qid92d0fb,Aid92d0fb
id90e40c,Theme From Shaft - Album - Remastered,Isaac Hayes,Shaft (Deluxe Edition),General,Theme From Shaft by Isaac Hayes from Shaft (Music From The Soundtrack)-uNJKmf6KTcU.webm,0.0,13.0,Qid90e40c,Aid90e40c
ide32ec6,Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,Rubber Soul (Remastered),General,Norwegian Wood (This Bird Has Flown)-Y_V6y1ZCg_8.webm,0.0,5.0,Qide32ec6,Aide32ec6
ide27f4b,I Want To Hold Your Hand - Remastered 2015,The Beatles,1 (Remastered),General,I Want To Hold Your Hand (Remastered 2015)-v1HDt1tknTc.webm,0.0,7.0,Qide27f4b,Aide27f4b
